sl_mult,tp_mult,trades,win_rate,pnl,profit_factor,avg_per_trade,profitable
0.3,3.0,625,9.76,-549.1501990220612,0.8152589276521142,-0.8786403184352979,False
0.4,3.0,617,13.614262560777956,-297.8545846100652,0.9168642161690619,-0.48274649045391443,False
0.5,3.0,609,16.25615763546798,-245.5864273041249,0.9406844092381679,-0.40326178539265173,False
0.6,3.0,602,18.6046511627907,-174.32948496846979,0.9625905839832646,-0.2895838620738701,False
0.7,3.0,591,21.99661590524535,97.9288409871227,1.019417142983039,0.1657002385568912,True
0.8,3.0,581,24.78485370051635,437.59609249960596,1.0820734170723982,0.7531774397583579,True
0.9,3.0,569,28.119507908611602,1265.4807065917312,1.2331180167829705,2.224043421075099,True
1.0,3.0,558,30.46594982078853,1269.937321177476,1.2225566418762108,2.2758733354435052,True
1.1,3.0,553,32.730560578661844,1420.680096014303,1.2365194197180158,2.56904176494449,True
1.2,3.0,546,35.16483516483517,1607.6425828911647,1.2586917004420586,2.9444003349655032,True
1.3,3.0,535,37.38317757009346,2055.292274946719,1.3254383767959208,3.841667803638727,True
1.4,3.0,530,38.86792452830189,1926.2597797491994,1.2917644775528525,3.634452414621131,True
1.5,3.0,523,40.152963671128106,1917.5694520866437,1.282548945420007,3.666480787928573,True
1.8,3.0,511,43.24853228962818,1487.9562432229363,1.196914933272276,2.9118517479900907,True
2.0,3.0,500,44.800000000000004,1078.9407407206377,1.1341936717156558,2.1578814814412755,True
2.5,3.0,480,51.041666666666664,1177.1476621397392,1.1371603365329979,2.452390962791123,True
3.0,3.0,464,54.310344827586206,973.9069944657573,1.1064016303753381,2.0989374880727527,True
