symbol,direction,entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,exit_type,pnl_gross,entry_commission,exit_commission,pnl_net,roi_pct,duration_hours
ARB/USDT,LONG,2025-11-01 16:00:00,0.3063,0.30153214285714286,0.31583571428571433,2025-11-02 14:00:00,0.30153214285714286,SL,-15.565971736392937,0.5,0.5,-16.56597173639294,-16.56597173639294,22
ARB/USDT,LONG,2025-11-02 05:00:00,0.3107,0.30659642857142855,0.31890714285714283,2025-11-02 10:00:00,0.30659642857142855,SL,-13.207503793277853,0.5,0.5,-14.207503793277853,-14.207503793277853,5
TRX/USDT,LONG,2025-11-03 00:00:00,0.29778,0.2966196428571429,0.3001007142857143,2025-11-03 02:00:00,0.2966196428571429,SL,-3.896692668604728,0.5,0.5,-4.896692668604728,-4.896692668604728,2
DOGE/USDT,SHORT,2025-11-03 07:00:00,0.17341,0.1771257142857143,0.16597857142857142,2025-11-03 15:00:00,0.16597857142857142,TP,42.85467142280484,0.5,0.5,41.85467142280484,41.85467142280484,8
ATOM/USDT,SHORT,2025-11-03 07:00:00,2.849,2.9110357142857146,2.7249285714285714,2025-11-03 15:00:00,2.7249285714285714,TP,43.54911497768649,0.5,0.5,42.54911497768649,42.54911497768649,8
ADA/USDT,SHORT,2025-11-03 07:00:00,0.5768,0.5892392857142857,0.5519214285714285,2025-11-03 15:00:00,0.5519214285714285,TP,43.13205864870237,0.5,0.5,42.13205864870237,42.13205864870237,8
OP/USDT,SHORT,2025-11-03 16:00:00,0.36,0.37607142857142856,0.32785714285714285,2025-11-04 20:00:00,0.32785714285714285,TP,89.28571428571428,0.5,0.5,88.28571428571428,88.28571428571428,28
ATOM/USDT,SHORT,2025-11-03 16:00:00,2.652,2.738571428571429,2.478857142857143,2025-11-03 22:00:00,2.478857142857143,TP,65.28765352294761,0.5,0.5,64.28765352294761,64.28765352294761,6
ADA/USDT,SHORT,2025-11-03 16:00:00,0.5593,0.5780714285714286,0.5217571428571429,2025-11-04 17:00:00,0.5217571428571429,TP,67.12472222931717,0.5,0.5,66.12472222931717,66.12472222931717,25
APT/USDT,SHORT,2025-11-04 06:00:00,2.6782,2.7859214285714287,2.462757142857143,2025-11-04 20:00:00,2.462757142857143,TP,80.44315478413003,0.5,0.5,79.44315478413003,79.44315478413003,14
